"Date","Open","High","Low","Close","Volume"
"01/14/2022","1019.88","1052","1013.3788","1049.61","24,308,140"
"01/13/2022","1109.065","1115.6","1026.5391","1031.56","32,403,260"
"01/12/2022","1078.85","1114.84","1072.5901","1106.22","27,913,010"
"01/11/2022","1053.67","1075.85","1038.82","1064.4","22,021,070"
"01/10/2022","1000","1059.1","980","1058.12","30,604,960"
"01/07/2022","1080.37","1080.9299","1010","1026.96","28,054,920"
"01/06/2022","1077","1088","1020.5","1064.7","30,112,160"
"01/05/2022","1146.65","1170.34","1081.0101","1088.12","26,706,600"
"01/04/2022","1189.55","1208","1123.05","1149.59","33,416,090"
"01/03/2022","1147.75","1201.07","1136.04","1199.78","34,895,350"
"12/31/2021","1073.4444","1081.9999","1054.59","1056.78","13,577,880"
"12/30/2021","1061.33","1095.55","1053.15","1070.34","15,680,310"
"12/29/2021","1098.64","1104","1064.14","1086.19","18,718,020"
"12/28/2021","1109.49","1118.9999","1078.42","1088.47","20,107,970"
"12/27/2021","1073.67","1117","1070.7152","1093.94","23,715,270"
"12/23/2021","1006.8","1072.9767","997.56","1067","30,904,430"
"12/22/2021","965.66","1015.6599","957.05","1008.87","31,211,360"
"12/21/2021","916.87","939.5","886.12","938.53","23,839,310"
"12/20/2021","910.7","921.6884","893.39","899.94","18,826,670"
"12/17/2021","914.77","960.6599","909.0401","932.57","33,626,750"
"12/16/2021","994.5","994.98","921.85","926.92","27,590,480"
"12/15/2021","953.21","978.7499","928.2501","975.99","25,056,410"
"12/14/2021","945","966.41","930","958.51","23,602,090"
"12/13/2021","1001.09","1005","951.42","966.41","26,198,500"
"12/10/2021","1008.75","1020.9797","982.53","1017.03","19,888,120"
"12/09/2021","1060.64","1062.49","1002.36","1003.8","19,812,830"
"12/08/2021","1052.71","1072.38","1033.0001","1068.96","13,968,790"
"12/07/2021","1044.2","1057.6739","1026.81","1051.75","18,694,860"
"12/06/2021","1001.51","1021.64","950.5","1009.01","27,221,040"
