"Date","Open","High","Low","Close","Volume"
"01/14/2022","171.34","173.78","171.09","173.07","80,440,780"
"01/13/2022","175.78","176.62","171.79","172.19","84,505,760"
"01/12/2022","176.12","177.18","174.82","175.53","74,805,170"
"01/11/2022","172.32","175.18","170.82","175.08","76,138,310"
"01/10/2022","169.08","172.5","168.17","172.19","106,765,600"
"01/07/2022","172.89","174.14","171.03","172.17","86,709,150"
"01/06/2022","172.7","175.3","171.64","172","96,903,960"
"01/05/2022","179.61","180.17","174.64","174.92","94,537,600"
"01/04/2022","182.63","182.94","179.12","179.7","99,310,440"
"01/03/2022","177.83","182.88","177.71","182.01","104,701,200"
"12/31/2021","178.085","179.23","177.26","177.57","64,062,260"
"12/30/2021","179.47","180.57","178.09","178.2","59,773,010"
"12/29/2021","179.33","180.63","178.14","179.38","62,348,930"
"12/28/2021","180.16","181.33","178.53","179.29","79,144,340"
"12/27/2021","177.085","180.42","177.07","180.33","74,919,580"
"12/23/2021","175.85","176.8499","175.27","176.28","68,356,570"
"12/22/2021","173.04","175.86","172.15","175.64","92,135,300"
"12/21/2021","171.555","173.2","169.12","172.99","91,185,910"
"12/20/2021","168.28","170.58","167.46","169.75","107,499,100"
"12/17/2021","169.93","173.47","169.69","171.14","195,923,400"
"12/16/2021","179.28","181.14","170.75","172.26","150,185,800"
"12/15/2021","175.11","179.5","172.3108","179.3","131,063,300"
"12/14/2021","175.25","177.74","172.21","174.33","139,380,400"
"12/13/2021","181.115","182.13","175.53","175.74","153,237,000"
"12/10/2021","175.205","179.63","174.69","179.45","115,402,700"
"12/09/2021","174.91","176.75","173.92","174.56","108,923,700"
"12/08/2021","172.125","175.96","170.7","175.08","116,998,900"
"12/07/2021","169.08","171.58","168.34","171.18","120,405,400"
"12/06/2021","164.29","167.8799","164.28","165.32","107,497,000"
"12/03/2021","164.02","164.96","159.72","161.84","118,023,100"
"12/02/2021","158.735","164.2","157.8","163.76","136,739,200"
"12/01/2021","167.48","170.3","164.53","164.77","152,423,000"
"11/30/2021","159.985","165.52","159.92","165.3","174,048,100"
"11/29/2021","159.37","161.19","158.7901","160.24","88,748,220"
"11/26/2021","159.565","160.45","156.36","156.81","76,959,750"
"11/24/2021","160.75","162.14","159.64","161.94","69,463,620"
"11/23/2021","161.12","161.8","159.0601","161.41","96,041,900"
"11/22/2021","161.68","165.7","161","161.02","117,467,900"
"11/19/2021","157.65","161.02","156.5328","160.55","117,305,600"
"11/18/2021","153.71","158.67","153.05","157.87","137,827,700"
"11/17/2021","150.995","155","150.99","153.49","88,807,000"
"11/16/2021","149.94","151.488","149.34","151","59,256,210"
"11/15/2021","150.37","151.88","149.43","150","59,222,800"
"11/12/2021","148.43","150.4","147.48","149.99","63,804,010"
"11/11/2021","148.96","149.43","147.681","147.87","40,999,950"
"11/10/2021","150.02","150.13","147.85","147.92","65,187,090"
"11/09/2021","150.2","151.428","150.0601","150.81","56,787,930"
"11/08/2021","151.41","151.57","150.16","150.44","55,020,870"
"11/05/2021","151.89","152.2","150.06","151.28","65,463,880"
"11/04/2021","151.58","152.43","150.64","150.96","60,394,620"
"11/03/2021","150.39","151.97","149.82","151.49","54,511,530"
"11/02/2021","148.66","151.57","148.65","150.02","69,121,990"
"11/01/2021","148.985","149.7","147.8","148.96","74,588,260"
"10/29/2021","147.215","149.94","146.4128","149.8","124,953,200"
"10/28/2021","149.82","153.165","149.72","152.57","100,077,900"
"10/27/2021","149.36","149.73","148.49","148.85","56,094,930"
"10/26/2021","149.33","150.84","149.0101","149.32","60,893,400"
"10/25/2021","148.68","149.37","147.6211","148.64","50,720,560"
"10/22/2021","149.69","150.18","148.64","148.69","58,883,440"
"10/21/2021","148.81","149.64","147.87","149.48","61,420,990"
"10/20/2021","148.7","149.7539","148.12","149.26","58,418,790"
"10/19/2021","147.01","149.17","146.55","148.76","76,378,890"
"10/18/2021","143.445","146.84","143.16","146.55","85,589,180"
"10/15/2021","143.77","144.895","143.51","144.84","67,940,330"
"10/14/2021","142.11","143.88","141.51","143.76","69,907,100"
"10/13/2021","141.235","141.4","139.2","140.91","78,762,720"
"10/12/2021","143.23","143.25","141.0401","141.51","73,035,860"
"10/11/2021","142.27","144.81","141.81","142.81","64,452,220"
"10/08/2021","144.03","144.1781","142.56","142.9","58,773,160"
"10/07/2021","143.06","144.215","142.72","143.29","61,732,660"
"10/06/2021","139.47","142.15","138.37","142","83,221,120"
"10/05/2021","139.49","142.24","139.36","141.11","80,861,060"
"10/04/2021","141.76","142.21","138.27","139.14","98,322,010"
"10/01/2021","141.9","142.92","139.1101","142.65","94,639,580"
"09/30/2021","143.66","144.378","141.28","141.5","89,056,660"
"09/29/2021","142.47","144.45","142.03","142.83","74,602,040"
"09/28/2021","143.25","144.75","141.69","141.91","108,972,300"
"09/27/2021","145.47","145.96","143.82","145.37","74,150,730"
"09/24/2021","145.66","147.4701","145.56","146.92","53,477,870"
"09/23/2021","146.65","147.08","145.64","146.83","64,838,170"
"09/22/2021","144.45","146.43","143.7001","145.85","76,404,340"
"09/21/2021","143.93","144.6","142.78","143.43","75,833,960"
"09/20/2021","143.8","144.84","141.27","142.94","123,478,900"
"09/17/2021","148.82","148.82","145.76","146.06","129,868,800"
"09/16/2021","148.44","148.97","147.221","148.79","68,034,150"
"09/15/2021","148.56","149.44","146.37","149.03","83,281,320"
"09/14/2021","150.35","151.07","146.91","148.12","109,296,300"
"09/13/2021","150.63","151.42","148.75","149.55","102,404,300"
"09/10/2021","155","155.48","148.7","148.97","140,893,200"
"09/09/2021","155.49","156.11","153.95","154.07","57,305,730"
"09/08/2021","156.98","157.04","153.975","155.11","74,420,210"
"09/07/2021","154.97","157.26","154.39","156.69","82,278,260"
"09/03/2021","153.76","154.63","153.09","154.3","57,866,070"
"09/02/2021","153.87","154.72","152.4","153.65","71,171,320"
"09/01/2021","152.83","154.98","152.34","152.51","80,313,710"
"08/31/2021","152.66","152.8","151.29","151.83","86,453,120"
"08/30/2021","149","153.49","148.61","153.12","90,956,720"
"08/27/2021","147.48","148.75","146.83","148.6","55,802,390"
"08/26/2021","148.35","149.12","147.51","147.54","48,597,200"
"08/25/2021","149.81","150.32","147.8","148.36","58,991,300"
"08/24/2021","149.45","150.86","149.15","149.62","48,606,430"
"08/23/2021","148.31","150.19","147.89","149.71","60,131,810"
"08/20/2021","147.44","148.5","146.78","148.19","60,549,630"
"08/19/2021","145.03","148","144.5","146.7","86,960,310"
"08/18/2021","149.8","150.72","146.15","146.36","86,325,990"
"08/17/2021","150.23","151.68","149.09","150.19","92,229,740"
"08/16/2021","148.535","151.19","146.47","151.12","103,558,800"
"08/13/2021","148.97","149.4444","148.27","149.1","59,375,010"
"08/12/2021","146.19","149.05","145.84","148.89","73,779,110"
"08/11/2021","146.05","146.72","145.53","145.86","48,493,460"
