"Date","Open","High","Low","Close","Volume"
"01/14/2022","131.68","137","131.43","136.88","71,078,440"
"01/13/2022","139.44","141.25","131.81","132.74","76,618,060"
"01/12/2022","138.585","140.57","135.77","137.47","69,669,600"
"01/11/2022","133.45","138.99","131.59","137.31","77,153,910"
"01/10/2022","129.08","132.42","125.03","132","84,671,340"
"01/07/2022","136.28","137.44","131.13","132","58,441,100"
"01/06/2022","136.19","138","131.77","136.23","64,802,940"
"01/05/2022","142.815","143.76","135.29","136.15","65,403,170"
"01/04/2022","151.01","152.42","140.7","144.42","80,200,460"
"01/03/2022","145.135","151.65","145.02","150.24","59,477,670"
"12/31/2021","146.16","148.61","143.55","143.9","49,448,140"
"12/30/2021","147.44","148.85","144.85","145.15","44,358,000"
"12/29/2021","152.82","154.3399","147.29","148.26","51,300,210"
"12/28/2021","155.88","156.73","151.38","153.15","58,699,070"
"12/27/2021","147.51","154.89","147.25","154.36","53,296,380"
"12/23/2021","143.89","149.018","143.85","146.14","48,653,790"
"12/22/2021","142.65","144.5","140.27","143.88","46,923,680"
"12/21/2021","138.185","144.5","135.15","144.25","57,785,240"
"12/20/2021","135.97","138.26","133.52","135.8","38,195,400"
"12/17/2021","136.3","142.04","136.11","137.75","55,692,280"
"12/16/2021","147","147.93","137.02","138.64","63,369,550"
"12/15/2021","135.11","146.69","133.81","146.5","72,425,780"
"12/14/2021","131.67","137.24","130.6","135.6","50,754,640"
"12/13/2021","138.25","139.4","133.415","133.8","42,173,960"
"12/10/2021","141.29","141.365","135.82","138.55","42,224,280"
"12/09/2021","145.16","146.69","137.8","138.1","53,019,930"
"12/08/2021","144.96","147.04","142.7","145.24","40,977,480"
"12/07/2021","143.9","145.76","141.0001","144.85","53,359,430"
"12/06/2021","141.135","141.31","134.2","139.06","66,776,490"
"12/03/2021","151.645","152.38","140.72","144.01","65,910,030"
"12/02/2021","147.675","152.53","146.47","150.68","56,161,220"
"12/01/2021","160.37","160.88","148.92","149.11","64,185,120"
"11/30/2021","163.28","164.4599","155.6801","158.37","75,182,550"
"11/29/2021","157.5","162.505","156.1","161.91","57,438,870"
"11/26/2021","155.8","158.1","152.81","154.81","36,245,070"
"11/24/2021","149.46","157.93","147.19","157.8","60,677,060"
"11/23/2021","150.41","152.66","145.2996","149.92","62,852,710"
"11/22/2021","157.14","161.8799","152.39","152.52","58,674,080"
"11/19/2021","155.76","156.92","153.445","155.41","41,668,860"
"11/18/2021","157.07","158.89","152.56","155.02","60,612,730"
"11/17/2021","151.98","154.6599","149.69","151.34","54,527,480"
"11/16/2021","145.93","153.08","145.34","152.45","53,100,810"
"11/15/2021","148","148.98","142.86","146.49","52,271,270"
"11/12/2021","146.025","148.59","144.25","147.89","52,162,140"
"11/11/2021","142.955","146.47","140.84","146.01","67,934,850"
"11/10/2021","143.93","146.3","138.52","139.87","82,989,150"
"11/09/2021","154.01","155.65","143.89","148.92","98,442,600"
"11/08/2021","137.7","153.6","137.7","150.16","141,493,800"
"11/05/2021","139.185","141.22","134.42","136.34","64,920,600"
"11/04/2021","132.01","139","130.77","137.5","84,825,160"
"11/03/2021","127.75","130.6","126.7901","130.53","59,537,820"
"11/02/2021","124.98","128.455","124.2","127.63","53,491,940"
"11/01/2021","119.45","125.67","118.1301","125.23","54,559,780"
"10/29/2021","120.95","122.57","119.88","120.23","43,320,130"
"10/28/2021","122.855","123.5","120.26","121.16","58,002,460"
"10/27/2021","121.63","128.08","121.05","122.28","98,245,320"
"10/26/2021","122.99","127.2","122.5782","122.93","59,458,930"
"10/25/2021","120.515","123.4599","118.6","122.36","47,834,120"
"10/22/2021","120.825","121.56","118.37","119.82","38,992,690"
"10/21/2021","116.5","119.68","116.26","119.33","34,794,950"
"10/20/2021","116.29","118.3001","115.421","116.39","34,244,810"
"10/19/2021","116.16","117.17","114.47","116.33","39,593,940"
"10/18/2021","111.9","116.88","111.37","116.43","47,537,760"
"10/15/2021","112.505","112.835","111.11","112.12","34,203,010"
"10/14/2021","110.5","112.22","109.6301","111.99","46,900,160"
"10/13/2021","106.275","109.88","106.25","109.16","55,631,920"
"10/12/2021","105.165","106.04","104.34","105.04","34,039,910"
"10/11/2021","104.62","107.2","104.022","104.68","31,284,390"
"10/08/2021","106.55","107.28","104.89","105.06","30,623,050"
"10/07/2021","104.6","107.95","104.46","106.45","41,543,110"
"10/06/2021","100.445","103.72","100.35","103.64","39,071,700"
"10/05/2021","100.92","102.8699","100.6101","101.81","31,455,250"
"10/04/2021","101.742","101.85","99.82","100.34","41,967,150"
"10/01/2021","102.6","103","100.64","102.45","41,491,590"
"09/30/2021","102.08","104.44","101.99","102.9","57,636,700"
"09/29/2021","102.295","102.66","99.81","100.35","52,224,720"
"09/28/2021","106.835","107.65","101.42","101.52","74,468,970"
"09/27/2021","105.065","108.44","103.44","108.16","51,944,350"
"09/24/2021","105.185","106.0499","104.68","105.8","26,482,610"
"09/23/2021","104.89","106.86","103.89","106.15","32,816,660"
"09/22/2021","102.815","104.56","102.21","104.38","34,126,280"
"09/21/2021","102.15","103.4299","101.18","102.82","35,481,500"
"09/20/2021","101.58","102.51","99.51","101.55","45,228,410"
"09/17/2021","105.555","105.98","103.71","103.88","44,528,340"
"09/16/2021","104.915","106.75","103.76","106.22","38,150,270"
"09/15/2021","106","106.32","104.03","105.6","37,998,940"
"09/14/2021","105.52","106.82","104.42","105.73","40,629,530"
"09/13/2021","105.26","105.28","102.63","104.8","37,767,790"
"09/10/2021","106.99","106.9913","104.98","105.2","32,602,290"
"09/09/2021","106.56","107.2953","105.84","106.15","31,857,870"
"09/08/2021","108.88","109.3","105.52","106.17","43,067,910"
"09/07/2021","109.955","110.58","108.66","109.15","28,815,230"
"09/03/2021","108.85","111.17","108.5","109.92","42,623,780"
"09/02/2021","110.32","110.88","108.77","109.2","40,108,760"
"09/01/2021","111.3","111.85","109.85","109.99","38,579,560"
"08/31/2021","111.26","111.26","109.0343","110.72","49,338,960"
"08/30/2021","112.61","114.4899","111.26","111.32","56,130,470"
"08/27/2021","108.01","111.78","107.8","111.4","61,030,010"
"08/26/2021","108.57","109.2299","106.84","107.27","51,442,550"
"08/25/2021","108.13","109.91","107.45","108.3","45,485,500"
"08/24/2021","109.45","109.61","107.28","107.65","51,239,300"
"08/23/2021","105.295","109.02","104.86","108.77","68,835,280"
"08/20/2021","104.32","105.98","103.99","104.65","55,227,560"
"08/19/2021","103.315","106.18","101.975","103.7","71,117,490"
"08/18/2021","107.35","108.07","103.27","103.44","79,387,940"
"08/17/2021","106.644","108.7","105.35","107.56","74,053,910"
"08/16/2021","110.2","111.58","105.865","107.48","73,398,940"
"08/13/2021","107.17","111.71","106.57","110.55","100,135,700"
